"编号","类别","对象","公式/物理意义","dhx输入数据路径","dhx对照输出路径","PyQCD函数与输入参数","输出/范围","相对误差（L2：‖PyQCD−dhx‖₂/max(‖dhx‖₂,10^-300)）","状态","证据"
"H08","4D10 HYP–OPE","z:(3,0)","O^FF；Δ⊥=0；d̂=z。","/public/group/lqcd/donghx/Hpysmear_beta6.20_mu-0.2770_ms-0.2400_L24x72/hpy_4D_10times_new/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime.contents/msg02.rec04.ildg-binary-data","/public/group/lqcd/donghx/Ope_Gluon/TMD_Ope_Gluon/Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/zdir/4150/ops_mu3_nu0_dz12_dx5_conf4150.npy","gluon_ope_operator_z0(gauge,3,0,2,12,72,24,second_insert=""F"").T","(72,12)；Δz=12；d̂=z","7.495e-17","通过","examples/pyqcd/cmp1/v20260829_hyp_ope_xyz/results.json"
"H09","4D10 HYP–OPE","z:(3,1)","O^FF；Δ⊥=0；d̂=z。","/public/group/lqcd/donghx/Hpysmear_beta6.20_mu-0.2770_ms-0.2400_L24x72/hpy_4D_10times_new/beta6.20_mu-0.2770_ms-0.2400_L24x72_cfg_4150.lime.contents/msg02.rec04.ildg-binary-data","/public/group/lqcd/donghx/Ope_Gluon/TMD_Ope_Gluon/Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/zdir/4150/ops_mu3_nu1_dz12_dx5_conf4150.npy","gluon_ope_operator_z0(gauge,3,1,2,12,72,24,second_insert=""F"").T","(72,12)；Δz=12；d̂=z","7.355e-17","通过","examples/pyqcd/cmp1/v20260829_hyp_ope_xyz/results.json"
"D01","质子2pt直接","Cg5g4 contract","C₂=⟨O_p(t_s)Ō_p(t₀)⟩；p=0 的质子颜色/自旋收缩矩阵。","eigvec=/public/group/lqcd/eigensystem/beta6.20_mu-0.2770_ms-0.2400_L24x72/4150；peram=/public/group/lqcd/perambulators/beta6.20_mu-0.2770_ms-0.2400_L24x72/light/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5g4/4150/twopt_slice_pp_Px0Py0Pz0_eginphase0_Cg5g4_contract_conf4150.npy","readin_eigvecs(...,Nx=24)[:100]; Mom_VVV_sink_t(...)[0]; readin_peram_time_slice(peram_dir,conf_id,t_source=0,Nt=72,Nev1=100); contract_donghx_2pt_pair(...,variant=""Cg5g4"")","(72,72,4,4)；Δt=2…36；35对","3.498e-15","通过","examples/pyqcd/cmp1/v202608300145_cg5g4/results.json"
"D02","质子2pt直接","Cg5 contract","C₂=⟨O_pŌ_p⟩；Cg5 插值的未投影质子两点函数。","eigvec=/public/group/lqcd/eigensystem/beta6.20_mu-0.2770_ms-0.2400_L24x72/4150；peram=/public/group/lqcd/perambulators/beta6.20_mu-0.2770_ms-0.2400_L24x72/light/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5/4150/twopt_slice_pp_Px0Py0Pz0_eginphase0_contract_conf4150.npy","readin_eigvecs(...,Nx=24)[:100]; Mom_VVV_sink_t(...)[0]; readin_peram_time_slice(peram_dir,conf_id,t_source=0,Nt=72,Nev1=100); contract_donghx_2pt_pair(...,variant=""Cg5"")","(72,72,4,4)；Δt=2…36；35对","2.288e-15","通过","examples/pyqcd/cmp1/v202608300146_cg5/results.json"
"D03","质子2pt直接","Cg5g4 nopol","C₂⁺=s₊₊Σ_li P⁺_li C_il；P⁺=1/2(γ₀+γ₄)；正宇称无极化投影。","eigvec=/public/group/lqcd/eigensystem/beta6.20_mu-0.2770_ms-0.2400_L24x72/4150；peram=/public/group/lqcd/perambulators/beta6.20_mu-0.2770_ms-0.2400_L24x72/light/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5g4/4150/twopt_slice_pp_Px0Py0Pz0_eginphase0_Cg5g4_nopol_ss_conf4150.npy","parity_and_boundary(contract,Nt=72)[0]","(72,72)；t₀=0；35对","1.266e-15","通过","examples/pyqcd/cmp1/v202608300145_cg5g4/results.json"
"D04","质子2pt直接","Cg5 nopol","C₂⁺=s₊₊Σ_li P⁺_li C_il；P⁺=1/2(γ₀+γ₄)；Cg5 正宇称无极化输出。","eigvec=/public/group/lqcd/eigensystem/beta6.20_mu-0.2770_ms-0.2400_L24x72/4150；peram=/public/group/lqcd/perambulators/beta6.20_mu-0.2770_ms-0.2400_L24x72/light/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5/4150/twopt_slice_pp_Px0Py0Pz0_eginphase0_nopol_ss_conf4150.npy","parity_and_boundary(contract,Nt=72)[0]；P⁺=1/2(γ₀+γ₄)","(72,72)；t₀=0；35对","1.533e-15","通过","examples/pyqcd/cmp1/v202608300146_cg5/results.json"
"P01","正宇称投影","−2x","nopol_ss=s₊₊Σ_li P⁺_li C_il；反周期边界：t_s<t₀ 取负号。","已生成 contract/nopol 成品（输出级投影检查）","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear-2x/4150","compare_contract_nopol(contract,nopol)；parity_and_boundary(contract,Nt=72)","25文件/5组；Px=−2…−6；contract:(72,72,4,4)→nopol:(72,72)","5.202e-8","通过","examples/pyqcd/cmp1/v20260830123306_4150_2pt_polar/results.json"
"P02","正宇称投影","−2y","同一 P⁺ 与反周期边界关系；检验 y 向动量涂抹成品。","已生成 contract/nopol 成品（输出级投影检查）","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear-2y/4150","compare_contract_nopol(contract,nopol)；parity_and_boundary(contract,Nt=72)","25文件/5组；Py=−2…−6；contract:(72,72,4,4)→nopol:(72,72)","5.279e-8","通过","examples/pyqcd/cmp1/v20260830123306_4150_2pt_polar/results.json"
"P03","正宇称投影","−2z","同一 P⁺ 与反周期边界关系；检验 z 向负动量成品。","已生成 contract/nopol 成品（输出级投影检查）","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear-2z/4150","compare_contract_nopol(contract,nopol)；parity_and_boundary(contract,Nt=72)","25文件/5组；Pz=−2…−6；contract:(72,72,4,4)→nopol:(72,72)","5.852e-8","通过","examples/pyqcd/cmp1/v20260830123306_4150_2pt_polar/results.json"
"P04","正宇称投影","+2x","同一 P⁺ 与反周期边界关系；检验 x 向正动量成品。","已生成 contract/nopol 成品（输出级投影检查）","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear2x/4150","compare_contract_nopol(contract,nopol)；parity_and_boundary(contract,Nt=72)","25文件/5组；Px=2…6；contract:(72,72,4,4)→nopol:(72,72)","4.626e-8","通过","examples/pyqcd/cmp1/v20260830123306_4150_2pt_polar/results.json"
"P05","正宇称投影","+2z","同一 P⁺ 与反周期边界关系；检验 z 向正动量成品。","已生成 contract/nopol 成品（输出级投影检查）","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear2z/4150","compare_contract_nopol(contract,nopol)；parity_and_boundary(contract,Nt=72)","27文件/6组；Pz=0,2…6；contract:(72,72,4,4)→nopol:(72,72)","5.010e-8","通过","examples/pyqcd/cmp1/v20260830123306_4150_2pt_polar/results.json"
"P06","正宇称投影","Cg5,q=0","P⁺ 投影得到 nopol_ss；零动量 Cg5 质子两点输出。","已生成 contract/nopol 成品（输出级投影检查）","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5/4150","compare_contract_nopol(contract,nopol)；P⁺=1/2(γ₀+γ₄)","47文件/16组；Pz=0…5、Py/Px=1…5；contract:(72,72,4,4)→nopol:(72,72)","0","通过","examples/pyqcd/cmp1/v20260830123306_4150_2pt_polar/results.json"
"P07","正宇称投影","Cg5g4,q=0","P⁺ 投影得到 nopol_ss；零动量 Cg5g4 质子两点输出。","已生成 contract/nopol 成品（输出级投影检查）","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5g4/4150","compare_contract_nopol(contract,nopol)；parity_and_boundary(contract,Nt=72)","58文件/16组；Pz=0…5、Py/Px=1…5；contract:(72,72,4,4)→nopol:(72,72)","8.291e-7","通过","examples/pyqcd/cmp1/v20260830123306_4150_2pt_polar/results.json"
"E01","effmass 聚合","raw +2z","C₂(Δt)=Σ_{(t_s−t₀) mod72=Δt}C₂(t_s,t₀)；平移汇总 raw 2pt。","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear2z/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/effmass/momsmear2_Cg5g4/Res_2pt.npy","inspect_all(base=DEFAULT_BASE)；compare_matrix_stack(stack,reference)","(5,879,72,72)；Pz=2…6；4150→k=2；5/5行","0","通过","examples/pyqcd/cmp1/v202608301600_4150_effmass_aggregate/results.json"
"E02","effmass 聚合","raw −2z","同一 C₂(Δt) 聚合；检验负 z 向动量序列。","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear-2z/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/effmass/momsmear2_Cg5g4/Res_2pt_mp.npy","inspect_all(base=DEFAULT_BASE)；compare_matrix_stack(stack,reference)","(5,879,72,72)；Pz=−2…−6；k=2；5/5行","0","通过","examples/pyqcd/cmp1/v202608301600_4150_effmass_aggregate/results.json"
"E03","effmass 聚合","raw q=0,Cg5g4","raw 组态矩阵保留两时间坐标；为后续时间汇总提供输入。","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5g4/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/effmass/momsmear0_Cg5g4/Res_2pt_momsmear0_Cg5g4.npy","inspect_all(base=DEFAULT_BASE)；compare_matrix_stack(stack,reference)","(4,878,72,72)；Pz=2…5；k=2；4/4行","0","通过","examples/pyqcd/cmp1/v202608301600_4150_effmass_aggregate/results.json"
"E04","effmass 聚合","twoptall +2z","C₂(Δt)：对 raw 矩阵按相对时间求和，作为有效质量/色散分析输入。","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear2z/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/effmass/momsmear2_Cg5g4_Disperion/twoptall.npy","compare_time_stack(stack,reference)；time_difference_sum(matrix)","(5,879,72)；Pz=2…6；k=2；5/5行","2.582e-16","通过","examples/pyqcd/cmp1/v202608301600_4150_effmass_aggregate/results.json"
"E05","effmass 聚合","twoptall q=0,Cg5g4","同一相对时间求和；保留 Cg5g4 零涂抹聚合链。","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5g4/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/effmass/momsmear0_Cg5g4_Disperion/twoptall_zdir.npy","compare_time_stack(stack,reference)；time_difference_sum(matrix)","(4,878,72)；Pz=2…5；k=2；4/4行","7.118e-18","通过","examples/pyqcd/cmp1/v202608301600_4150_effmass_aggregate/results.json"
"E06","effmass 聚合","twoptall q=0,Cg5","C₂(Δt)：零动量 Cg5 质子通道的时间平移汇总。","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/effmass/Pz0_Cg5_Cg5g4/twoptall_Cg5.npy","compare_time_stack(stack,reference)；time_difference_sum(matrix)","(1,879,72)；Pz=0；k=2；1/1行","3.935e-17","通过","examples/pyqcd/cmp1/v202608301600_4150_effmass_aggregate/results.json"
"E07","effmass 聚合","twoptall q=0,Cg5g4","C₂(Δt)：零动量 Cg5g4 质子通道的时间平移汇总。","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/momsmear0_Cg5g4/4150","/public/group/lqcd/donghx/2pt_Result/beta6.20_mu-0.2770_ms-0.2400_L24x72/effmass/Pz0_Cg5_Cg5g4/twoptall_Cg5g4.npy","compare_time_stack(stack,reference)；time_difference_sum(matrix)","(1,876,72)；Pz=0；k=2；1/1行","1.866e-17","通过","examples/pyqcd/cmp1/v202608301600_4150_effmass_aggregate/results.json"
